	Getränk	Region	Bestellnummer	Rechnungsnummer	Kundennummer	Listenpreis	Rabatt in Prozent	Verkaufspreis	Rabatt Preis	Einkaufpreis	VK Peris in USD
205	Whisky	USA	5645.0	RE_2023_5645	16.0	128.95	5	128.95	-6.010000000000005	n96.71	131.76
8920	Whisky	EU	7994.0	RE_2023_7994	193.0	132.81	5	n132.81	-6.640000000000001	99.61	135.71
4116	Whisky	USA	3190.0	RE_2023_3190	126.0	216.21	0	216.21	0.0	162.16	232.56
1716	Whisky	USA	790.0	RE_2023_790	171.0	172.13	0	172.13	0.0	129.1	185.14
10901	Rum	USA	9975.0	RE_2023_9975	41.0	128.73	0	128.73	0.0	96.55	138.46
4607	Wein	EU	3681.0	RE_2023_3681	34.0	169.14	0	169.14	0.0	126.85	181.93
1529	Champagner	EU	603.0	RE_2023_603	123.0	212.88	0	212.88	0.0	159.66	228.97
2158	Wein	USA	1232.0	RE_2023_1232	16.0	89.72	0	89.72	0.0	67.29	96.5
10358	Champagner	EU	9432.0	RE_2023_9432	123.0	224.15	0	224.15	0.0	168.11	241.1
8803	Whisky	USA	7877.0	RE_2023_7877	167.0	207.16	0	207.16	0.0	155.37	222.82
3714	Whisky	EU	2788.0	RE_2023_2788	16.0	181.75	0	181.75	0.0	136.31	195.49
10157	Whisky	EU	9231.0	RE_2023_9231	299.0	228.97	5	228.97	-11.449999999999989	171.73	233.96
6258	Wein	USA	5332.0	RE_2023_5332	8.0	173.13	0	173.13	0.0	129.85	186.22
9135	Wein	USA	8209.0	RE_2023_8209	294.0	119.74	0	119.74	0.0	89.8	128.79
4836	Whisky	USA	3910.0	RE_2023_3910	160.0	88.54	0	88.54	0.0	66.4	95.23
10826	Whisky	EU	9900.0	RE_2023_9900	129.0	151.39	0	151.39	0.0	113.54	162.84
163	Whisky	EU	3755.0	RE_2023_3755	253.0	212.59	5	212.59	-9.909999999999997	159.44	217.23
3151	Whisky	EU	2225.0	RE_2023_2225	221.0	156.02	0	156.02	0.0	117.02	167.82
1407	Whisky	Asien	481.0	RE_2023_481	8.0	182.22	0	182.22	0.0	136.66	196.0
665	Whisky	EU	5818.0	RE_2023_5818	94.0	120.74	0	120.74	0.0	90.56	129.87
10684	Whisky	Asien	9758.0	RE_2023_9758	190.0	128.46	0	128.46	0.0	96.34	138.17
3436	Whisky	Asien	2510.0	RE_2023_2510	50.0	80.28	0	80.28	0.0	60.21	86.35
10444	Wein	Asien	9518.0	RE_2023_9518	79.0	210.71	5	210.71	-10.54000000000002	158.03	215.3
1137	Wein	USA	211.0	RE_2023_211	121.0	201.29	0	201.29	0.0	150.97	216.51
