	Newsletter_1_Cupon_2021	Newsletter_2_Cupon_2021	Newsletter_3_Cupon_2021	Newsletter_4_Cupon_2021	Newsletter_5_Cupon_2021	Newsletter_6_Cupon_2021	Newsletter_7_Cupon_2021	Newsletter_8_Cupon_2021	Newsletter_9_Cupon_2021	Newsletter_10_Cupon_2021	Newsletter_11_Cupon_2021	Newsletter_12_Cupon_2021	Nummer_Kunde
99	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	100
155	nein	nein	ja	ja	nein	nein	ja	ja	nein	nein	nein	ja	156
18	nein	ja	nein	nein	ja	nein	ja	nein	nein	nein	ja	ja	19
108	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	ja	109
132	nein	ja	nein	nein	ja	nein	ja	ja	ja	ja	nein	ja	133
55	nein	ja	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	56
72	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	73
86	nein	nein	ja	nein	ja	nein	nein	ja	ja	nein	nein	nein	87
92	ja	nein	ja	nein	nein	nein	ja	nein	ja	nein	nein	ja	93
17	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein	nein	18
95	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	96
48	nein	nein	ja	nein	ja	nein	ja	ja	nein	nein	ja	ja	49
28	nein	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	29
116	ja	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	117
89	ja	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	90
135	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	136
118	nein	nein	nein	nein	ja	ja	ja	nein	ja	nein	ja	nein	119
3	nein	ja	nein	nein	ja	ja	nein	ja	nein	nein	ja	ja	4
87	ja	ja	nein	nein	ja	nein	nein	ja	nein	nein	nein	ja	88
127	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	128
84	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	ja	ja	85
31	nein	ja	ja	ja	nein	ja	nein	ja	ja	nein	nein	ja	32
32	nein	nein	nein	ja	nein	ja	nein	ja	nein	nein	ja	nein	33
102	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	ja	ja	103
122	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	123
136	nein	nein	nein	nein	ja	ja	nein	nein	ja	ja	nein	nein	137
83	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	ja	84
105	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	nein	nein	106
0	nein	nein	ja	nein	ja	ja	ja	nein	nein	nein	nein	nein	1
70	ja	nein	nein	nein	nein	ja	ja	nein	ja	nein	nein	nein	71
47	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	nein	ja	48
63	ja	nein	ja	nein	nein	nein	ja	ja	nein	nein	ja	nein	64
96	nein	nein	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	97
22	nein	nein	ja	nein	nein	ja	ja	ja	nein	nein	ja	nein	23
13	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	ja	14
19	nein	nein	nein	nein	nein	ja	nein	ja	nein	ja	nein	ja	20
143	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	ja	144
46	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	nein	47
33	nein	nein	nein	nein	ja	ja	ja	ja	nein	nein	nein	nein	34
103	nein	nein	nein	ja	ja	ja	nein	ja	nein	nein	nein	nein	104
24	ja	ja	nein	ja	ja	nein	ja	ja	nein	nein	nein	ja	25
9	ja	ja	ja	ja	ja	nein	nein	nein	nein	nein	nein	ja	10
144	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	ja	145
15	nein	nein	nein	nein	ja	ja	ja	ja	ja	nein	nein	ja	16
40	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	41
115	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	116
76	nein	nein	nein	nein	nein	nein	ja	ja	ja	ja	ja	nein	77
20	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	21
60	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	61
150	nein	nein	ja	nein	nein	ja	nein	nein	ja	nein	nein	ja	151
65	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	66
25	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	ja	nein	26
