KD_NEWS_KEY	Newsletter_1_Cupon_2022	Newsletter_2_Cupon_2022	Newsletter_3_Cupon_2022	Newsletter_4_Cupon_2022	Newsletter_5_Cupon_2022	Newsletter_6_Cupon_2022	Newsletter_7_Cupon_2022	Newsletter_8_Cupon_2022	Newsletter_9_Cupon_2022	Newsletter_10_Cupon_2022	Newsletter_11_Cupon_2022	Newsletter_12_Cupon_2022
141	ja	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	ja
80	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	ja
30	nein	nein	ja	nein	nein	nein	nein	ja	nein	nein	nein	nein
188	nein	nein	nein	ja	ja	ja	ja	nein	ja	ja	nein	nein
69	nein	nein	nein	nein	ja	ja	ja	ja	nein	nein	nein	ja
87	ja	nein	ja	nein	nein	nein	ja	ja	nein	ja	ja	nein
161	nein	nein	ja	nein	ja	nein	ja	ja	nein	ja	ja	nein
215	nein	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	ja
73	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	ja	ja
239	nein	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	ja
237	ja	nein	nein	nein	nein	ja	ja	ja	ja	nein	ja	ja
195	nein	ja	ja	nein	nein	ja	ja	nein	nein	nein	ja	ja
74	ja	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	ja
53	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja
217	nein	nein	nein	ja	nein	ja	ja	nein	nein	ja	nein	nein
134	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	ja
113	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja
42	nein	nein	ja	nein	nein	nein	ja	ja	ja	nein	nein	nein
202	nein	nein	nein	ja	nein	ja	nein	nein	ja	nein	nein	nein
246	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein
117	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	ja
76	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein
190	nein	nein	nein	ja	ja	ja	ja	ja	nein	nein	nein	ja
85	nein	nein	ja	nein	nein	nein	nein	ja	nein	nein	ja	ja
125	ja	nein	nein	nein	nein	ja	nein	nein	ja	ja	nein	ja
219	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein
198	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	ja	ja
186	nein	nein	nein	nein	nein	ja	nein	ja	nein	ja	nein	ja
229	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	nein
231	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	nein	ja
236	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein
9	nein	nein	ja	nein	ja	ja	ja	ja	nein	nein	nein	nein
107	nein	ja	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein
102	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	ja
72	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	ja	nein
232	ja	ja	nein	ja	nein	ja	nein	nein	nein	nein	nein	ja
81	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	nein
163	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	ja
152	nein	nein	ja	ja	ja	ja	ja	nein	ja	nein	nein	nein
46	ja	nein	nein	nein	ja	ja	ja	nein	ja	nein	ja	nein
78	nein	nein	ja	nein	nein	ja	nein	ja	nein	ja	nein	nein
208	nein	ja	nein	nein	ja	ja	ja	nein	nein	nein	nein	ja
79	nein	ja	nein	nein	nein	ja	nein	ja	ja	nein	nein	ja
65	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja
121	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	ja
20	nein	nein	ja	nein	ja	nein	ja	ja	nein	ja	ja	nein
164	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	ja
170	nein	nein	ja	nein	ja	ja	ja	ja	nein	nein	nein	nein
95	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	nein
66	nein	nein	nein	nein	ja	ja	ja	nein	nein	ja	nein	nein
140	nein	ja	nein	nein	ja	ja	nein	ja	nein	nein	nein	ja
213	nein	nein	nein	nein	nein	nein	nein	ja	ja	ja	nein	ja
175	nein	nein	ja	nein	nein	ja	ja	ja	nein	nein	nein	nein
123	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	nein
38	ja	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein
245	ja	ja	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein
