	Newsletter_1_Cupon_2023	Newsletter_2_Cupon_2023	Newsletter_3_Cupon_2023	Newsletter_4_Cupon_2023	Newsletter_5_Cupon_2023	Newsletter_6_Cupon_2023	Newsletter_7_Cupon_2023	Newsletter_8_Cupon_2023	Newsletter_9_Cupon_2023	Newsletter_10_Cupon_2023	Newsletter_11_Cupon_2023	Newsletter_12_Cupon_2023	KD_NEWS_KEY
42	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	43
2	nein	nein	nein	nein	ja	ja	nein	ja	nein	nein	nein	nein	3
188	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	ja	ja	189
216	ja	nein	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein	217
231	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	nein	232
187	nein	ja	nein	nein	ja	nein	ja	nein	ja	nein	nein	ja	188
287	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein	nein	288
26	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	27
229	ja	nein	ja	nein	ja	nein	nein	ja	ja	ja	ja	nein	230
161	nein	ja	nein	nein	ja	ja	ja	nein	ja	nein	ja	nein	162
142	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	143
23	nein	ja	nein	ja	ja	ja	ja	nein	nein	nein	nein	ja	24
159	nein	nein	nein	nein	nein	ja	ja	nein	ja	nein	nein	ja	160
262	nein	ja	nein	nein	ja	nein	ja	ja	nein	nein	nein	ja	263
133	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	134
178	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	179
274	nein	nein	nein	ja	ja	nein	ja	nein	ja	nein	nein	ja	275
234	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein	nein	235
20	nein	nein	nein	nein	ja	ja	ja	nein	ja	nein	nein	nein	21
252	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	ja	253
25	nein	nein	nein	ja	nein	ja	ja	nein	ja	nein	nein	ja	26
268	nein	nein	ja	ja	ja	ja	ja	nein	nein	nein	nein	ja	269
195	ja	ja	nein	nein	ja	ja	ja	ja	nein	nein	nein	nein	196
15	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	ja	16
243	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	ja	244
51	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	52
258	ja	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	259
289	nein	ja	ja	ja	nein	nein	ja	nein	nein	ja	ja	ja	290
87	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	88
48	nein	nein	nein	nein	ja	ja	ja	ja	nein	nein	nein	nein	49
88	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	89
55	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	ja	56
241	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	nein	242
205	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	206
132	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein	133
56	nein	nein	nein	nein	ja	nein	nein	ja	ja	nein	nein	ja	57
285	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	ja	ja	286
219	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	ja	220
137	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	138
158	nein	nein	ja	ja	nein	ja	nein	nein	ja	nein	nein	nein	159
175	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	176
100	nein	ja	ja	ja	ja	nein	ja	ja	nein	nein	nein	nein	101
120	nein	nein	nein	nein	nein	ja	nein	ja	nein	ja	ja	nein	121
